CALLS IV,CALLS Bid Qty,CALLS Bid Price,CALLS Ask Price,Strike Price,PUTS Bid Price,PUTS Ask Price,PUTS IV
,75,893.85,906.4,11000,1.85,2,28.38
,300,827.3,874.7,11050,1.05,2.35,27.16
,75,794,807.1,11100,2,2.15,25.84
,75,748.35,758.5,11150,2.25,2.7,25.2
,75,696.95,706.15,11200,2.1,2.25,23.17
,"1,125",576.85,717.95,11250,2.05,2.55,22.16
,75,597.8,607.5,11300,2.7,2.9,21.13
,75,547.7,558.7,11350,2.65,4,19.97
,375,499.8,507.9,11400,3.5,3.65,18.98
,75,449.05,458.85,11450,3.55,3.95,17.47
,150,401.05,408.95,11500,4.6,4.8,16.49
,75,351.75,360.2,11550,5.35,5.6,15.33
,75,303.6,309,11600,6.8,7.25,14.64
,75,255.8,261.8,11650,9.25,9.45,13.72
,75,212.3,218.55,11700,15.3,15.85,13.78
9.05,75,167,178.2,11750,23.3,23.9,13.5
10.51,75,135.7,140,11800,36,36.9,13.56
10.85,75,104.05,107,11850,52.3,55,14.02
11.22,525,78.2,79.35,11900,75.85,79,14.48
11.61,75,55.05,56.4,11950,100.45,105,14.22
11.66,"1,275",38,39,12000,135.05,139.55,15.2
11.85,75,24.55,25.15,12050,169.15,175.95,14.54
11.95,75,15.6,15.85,12100,210.7,217.95,15.01
12.07,750,9.35,9.6,12150,254.25,265.9,20.41
12.17,675,5.6,5.65,12200,300.85,308.75,16.71
12.46,"1,575",3.1,3.4,12250,306.7,398.9,
12.8,"4,425",2.1,2.4,12300,396.5,404.9,21.12
13.15,75,1,1.05,12350,425.5,496.6,
14.57,"4,425",1.4,1.6,12400,495.95,507.6,33.62
15.99,75,1.3,17.95,12450,544.4,569.75,23.74
16.41,"4,875",1,1.05,12500,595.2,601,30.57
,"2,400",0.55,1.65,12550,593.6,721.85,
18.4,"4,275",0.9,0.95,12600,677.25,720.4,
,"1,800",0.05,1.2,12650,705.85,832.45,
20.67,"8,325",0.85,0.9,12700,776.95,820.5,
,750,0.1,1,12750,796.3,942.3,
22.41,300,0.7,0.75,12800,876.8,920.35,
,750,0.1,1,12850,887.1,1051.3,
23.48,75,0.5,0.75,12900,927.2,1105.2,
,750,0.1,0.95,12950,992.85,1154.05,
